title,slug,topCategoryName,origin,price_unit
Prune jaune vrac Bio,prune-jaune-vrac-bio,Fruits et Légumes,FRANCE,1.79 € / KG
Prune mirabelle vrac Bio,prune-mirabelle-vrac-bio,Fruits et Légumes,FRANCE,3.49 € / KG
Prunes bio rouges Allo,prunes-bio-rouges-allo,Fruits et Légumes,FRANCE,7.98 € / KG
Prunes Quetsche Bio,prunes-quetsche-bio,Bio et Ecologie,FRANCE,8.98 € / KG
Prunes d'Ente,prunes-d-ente,Bio et Ecologie,FRANCE,5.98 € / KG
Raisin blanc Bio,raisin-blanc-bio,Fruits et Légumes,ITALIE,7.98 € / KG
Raisin blanc Bio,raisin-blanc-bio,Fruits et Légumes,FRANCE,5.98 € / KG
Raisin noir Bio,raisin-noir-bio,Fruits et Légumes,FRANCE,7.98 € / KG
Raisin noir Bio,raisin-noir-bio,Fruits et Légumes,ORIGINE C.E.E.,7.98 € / KG
Raisin blanc sans pépin Bio,raisin-blanc-sans-pepin-bio,Bio et Ecologie,ORIGINE C.E.E.,7.98 € / KG
Raisin noir cardinal bio,raisin-noir-cardinal-bio,Fruits et Légumes,FRANCE,7.98 € / KG
Raisin Chasselas en conversion Biologique,raisin-chasselas-en-conversion-biologique,Fruits et Légumes,FRANCE,6.58 € / KG
Raisin Chasselas Bio,raisin-chasselas-bio,Bio et Ecologie,FRANCE,9.98 € / KG
Raisins blancs sans pépin Bio,raisins-blancs-sans-pepin-bio,Bio et Ecologie,FRANCE,7.98 € / KG
Raisins blancs Italia en conversion Biologique,raisins-blancs-italia-en-conversion-biologique,Fruits et Légumes,FRANCE,5.98 € / KG
Raisins noirs Cardinale en conversion biologique,raisins-noirs-cardinale-en-conversion-biologique,Fruits et Légumes,FRANCE,6.58 € / KG
Cerises rouges Burlat bio,cerises-rouges-burlat-bio,Fruits et Légumes,FRANCE,19.96 € / KG
Melon Charentais Bio,melon-charentais-bio,Fruits et Légumes,FRANCE,3.79 € / U
Melon charentais jaune,melon-charentais-jaune,Fruits et Légumes,FRANCE,2.99 € / U
Myrtille Bio,myrtille-bio,Fruits et Légumes,FRANCE,26.32 € / KG
Nectarine,nectarine,Fruits et Légumes,FRANCE,3.99 € / U
Pommes bicolores,pommes-bicolores,Fruits et Légumes,FRANCE,3.19 € / U
Abricots moelleux SIMPL,abricots-moelleux-simpl,Fruits et Légumes,TURQUIE,14.45 € / KG
Abricots Bio,abricots-bio,Fruits et Légumes,FRANCE,8.98 € / KG
Abricots,abricots,Fruits et Légumes,FRANCE,8.98 € / KG
Abricots PETIT PRIX,abricots-petit-prix,Fruits et Légumes,FRANCE,3.79 € / KG
Abricots,abricots,Fruits et Légumes,FRANCE,6.99 € / KG
Abricots vrac CARREFOUR,abricots-vrac-carrefour,Fruits et Légumes,FRANCE,0.99 € / KG
Abricots moyens vrac,abricots-moyens-vrac,Fruits et Légumes,FRANCE,4.29 € / KG
Abricots,abricots,Fruits et Légumes,ORIGINE C.E.E.,3.79 € / KG
Abricots REFLETS DE FRANCE,abricots-reflets-de-france,Fruits et Légumes,FRANCE,7.32 € / KG
Abricots baby,abricots-baby,Fruits et Légumes,FRANCE,3.50 € / KG
Abricots SIMPL,abricots-simpl,Fruits et Légumes,origine UE et Hors U.E.,3.49 € / KG
Abricots agroécologie REFLETS DE FRANCE,abricots-agroecologie-reflets-de-france,Fruits et Légumes,FRANCE,6.65 € / KG
Abricots,abricots,Fruits et Légumes,FRANCE,5.90 € / KG
Abricots Agroécologie REFLETS DE FRANCE,abricots-agroecologie-reflets-de-france,Fruits et Légumes,FRANCE,3.87 € / U
Gros Abricots vrac,gros-abricots-vrac,Fruits et Légumes,FRANCE,6.99 € / KG
Mirabelles vrac,mirabelles-vrac,Fruits et Légumes,FRANCE,2.99 € / KG
Mirabelles REFLETS DE FRANCE,mirabelles-reflets-de-france,Fruits et Légumes,FRANCE,9.98 € / KG
Nectarine plate CARREFOUR,nectarine-plate-carrefour,Fruits et Légumes,FRANCE,5.18 € / KG
Nectarine SIMPL,nectarine-simpl,Fruits et Légumes,origine UE et Hors U.E.,2.99 € / KG
Nectarine,nectarine,Fruits et Légumes,FRANCE,3.29 € / KG
Nectarine,nectarine,Fruits et Légumes,ESPAGNE,5.98 € / KG
Nectarine jaune,nectarine-jaune,Fruits et Légumes,FRANCE,2.00 € / KG
Nectarines chair blanche vrac,nectarines-chair-blanche-vrac,Fruits et Légumes,FRANCE,3.99 € / KG
Nectarines chair jaune vrac,nectarines-chair-jaune-vrac,Fruits et Légumes,FRANCE,0.99 € / KG
