title,slug,topCategoryName,origin,price_unit
Coquilles  au saumon CARREFOUR,coquilles-au-saumon-carrefour,Viandes et Poissons,,21.00 € / KG
Accras de morue recette douce  CARREFOUR LE MARCHE,accras-de-morue-recette-douce-carrefour-le-marche,Viandes et Poissons,FRANCE,15.00 € / KG
Accras  de morue recette epicée  CARREFOUR LE MARCHE,accras-de-morue-recette-epicee-carrefour-le-marche,Viandes et Poissons,FRANCE,15.00 € / KG
Terrine saumon à l'aneth CARREFOUR LE MARCHE,terrine-saumon-a-l-aneth-carrefour-le-marche,Charcuterie et Traiteur,FRANCE,29.17 € / KG
Sushi saumon SUSHI DAILY,sushi-saumon-sushi-daily,Viandes et Poissons,FRANCE,51.91 € / KG
Dream roll SUSHI DAILY,dream-roll-sushi-daily,Viandes et Poissons,FRANCE,46.76 € / KG
Saumon fumé Ecosse CARREFOUR,saumon-fume-ecosse-carrefour,Viandes et Poissons,,55.57 € / KG
Lardons de saumon fumé CARREFOUR BIO,lardons-de-saumon-fume-carrefour-bio,Viandes et Poissons,,44.33 € / KG
Saumon fumé Norvège CARREFOUR CLASSIC',saumon-fume-norvege-carrefour-classic,Viandes et Poissons,,29.95 € / KG
Terrine de poissons noix de Saint-Jacques CARREFOUR EXTRA,terrine-de-poissons-noix-de-saint-jacques-carrefour-extra,Viandes et Poissons,,20.75 € / KG
Truite fumée CARREFOUR,truite-fumee-carrefour,Viandes et Poissons,,42.07 € / KG
Salade Bangkok vermicelles bœuf CARREFOUR BON APPETIT,salade-bangkok-vermicelles-boeuf-carrefour-bon-appetit,Charcuterie et Traiteur,,21.96 € / KG
Préparation à tartiner surimi crabe CARREFOUR SENSATION,preparation-a-tartiner-surimi-crabe-carrefour-sensation,Viandes et Poissons,,15.36 € / KG
Surimi ail et fines herbes CARREFOUR CLASSIC',surimi-ail-et-fines-herbes-carrefour-classic,Viandes et Poissons,,10.51 € / KG
Tartinable saumon fumé CARREFOUR SENSATION,tartinable-saumon-fume-carrefour-sensation,Viandes et Poissons,,18.09 € / KG
Rillettes de St-Jacques CARREFOUR EXTRA,rillettes-de-st-jacques-carrefour-extra,Viandes et Poissons,,22.92 € / KG
Poulpes aux olives CARREFOUR EXTRA,poulpes-aux-olives-carrefour-extra,Viandes et Poissons,,36.27 € / KG
Rillettes chorizo CARREFOUR EXTRA,rillettes-chorizo-carrefour-extra,Viandes et Poissons,,14.21 € / KG
Accras de morue CARREFOUR,accras-de-morue-carrefour,Viandes et Poissons,,20.75 € / KG
Sushi saumon IZAKAYA,sushi-saumon-izakaya,Viandes et Poissons,FRANCE,49.94 € / KG
Coquilles Saint-Jacques Noix de St Jacques à la bretonne MIX BUFFET,coquilles-saint-jacques-noix-de-st-jacques-a-la-bretonne-mix-buffet,Charcuterie et Traiteur,,28.75 € / KG
Saumon fumé au bois de hêtre LABEYRIE,saumon-fume-au-bois-de-hetre-labeyrie,Viandes et Poissons,,80.77 € / KG
Saumon fumé bio LABEYRIE,saumon-fume-bio-labeyrie,Viandes et Poissons,,90.62 € / KG
Saumon fumé bio LABEYRIE,saumon-fume-bio-labeyrie,Viandes et Poissons,,62.17 € / KG
Saumon fumé Cercle Polaire Norvégien LABEYRIE,saumon-fume-cercle-polaire-norvegien-labeyrie,Viandes et Poissons,,59.92 € / KG
Saumon fumé Dégustation L'Ecosse LABEYRIE,saumon-fume-degustation-l-ecosse-labeyrie,Viandes et Poissons,,52.04 € / KG
