title,slug,topCategoryName,origin,price_unit
Filet de tacaud,filet-de-tacaud,Viandes et Poissons,ATLANTIQUE NORD EST,3.89 € / KG
Filet de Tacaud sans arêtes,filet-de-tacaud-sans-aretes,Viandes et Poissons,ATLANTIQUE NORD EST,20.00 € / KG
Filet de truite  avec peau  FILIERE QUALITE CARREFOUR,filet-de-truite-avec-peau-filiere-qualite-carrefour,Viandes et Poissons,FRANCE,25.86 € / KG
Filets d'anchois allongés à l'huile d'olive BELMONTE,filets-d-anchois-allonges-a-l-huile-d-olive-belmonte,Viandes et Poissons,,39.67 € / KG
Filets de bar avec peau sans arêtes SACRE BLEU!,filets-de-bar-avec-peau-sans-aretes-sacre-bleu,Viandes et Poissons,GRECE,33.28 € / KG
Filets de Merlu,filets-de-merlu,Viandes et Poissons,NAMIBIE,7.49 € / KG
Filets de morue  salée  CARREFOUR LE MARCHE,filets-de-morue-salee-carrefour-le-marche,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),24.98 € / KG
Filets de morue sans dessalage DELPIERRE,filets-de-morue-sans-dessalage-delpierre,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),38.76 € / KG
Filets de truite avec peau SIMPL,filets-de-truite-avec-peau-simpl,Viandes et Poissons,FRANCE,19.23 € / KG
Haché de saumon nature sans arêtes SACREBLEU,hache-de-saumon-nature-sans-aretes-sacrebleu,Viandes et Poissons,NORVÈGE,22.50 € / KG
Haché de lieu noir nature CARREFOUR LE MARCHE,hache-de-lieu-noir-nature-carrefour-le-marche,Viandes et Poissons,ATLANTIQUE NORD EST,11.11 € / KG
Lieu  jaune en tranche,lieu-jaune-en-tranche,Viandes et Poissons,ATLANTIQUE NORD EST,4.99 € / KG
Longe de thon albacore saumurée,longe-de-thon-albacore-saumuree,Viandes et Poissons,OCEAN PACIFIQUE,11.99 € / KG
Maquereau,maquereau,Viandes et Poissons,FRANCE,3.59 € / KG
Miettes de morue salée MSC  CARREFOUR LE MARCHE,miettes-de-morue-salee-msc-carrefour-le-marche,Viandes et Poissons,ZONES DE CAPTURE MAREE (DIVERS),21.72 € / KG
Miettes de morue dessalée CARREFOUR LE MARCHE,miettes-de-morue-dessalee-carrefour-le-marche,Viandes et Poissons,ISLANDE,23.97 € / KG
Morceaux de lieu noir SIMPL,morceaux-de-lieu-noir-simpl,Viandes et Poissons,FRANCE,11.98 € / KG
Morceaux  de cabillaud SIMPL,morceaux-de-cabillaud-simpl,Viandes et Poissons,FRANCE,15.18 € / KG
Morceaux de saumon avec peau,morceaux-de-saumon-avec-peau,Viandes et Poissons,NORVÈGE,6.79 € / KG
Morue dessalée morceaux GAYTAN,morue-dessalee-morceaux-gaytan,Viandes et Poissons,ISLANDE,19.98 € / KG
Moules cuites décortiquées  ITSALUZ NUCHAR,moules-cuites-decortiquees-itsaluz-nuchar,Viandes et Poissons,ESPAGNE,24.95 € / KG
Pavé de saumon et rondelle d'orange,pave-de-saumon-et-rondelle-d-orange,Viandes et Poissons,NORVÈGE,47.88 € / KG
Pavé de thon CRIEE DES SAVEURS,pave-de-thon-criee-des-saveurs,Viandes et Poissons,FRANCE,29.92 € / KG
Pavés de Truite et Pomme de Terre Grenailles avec Sauce,paves-de-truite-et-pomme-de-terre-grenailles-avec-sauce,Viandes et Poissons,FRANCE,16.65 € / KG
Sardine Méditerranée vrac,sardine-mediterranee-vrac,Viandes et Poissons,ATLANTIQUE NORD EST,5.39 € / KG
Saumon mi-cuit aux épices Thaï MOWI,saumon-mi-cuit-aux-epices-thai-mowi,Viandes et Poissons,FRANCE,45.41 € / KG
Saumonette de Roussette,saumonette-de-roussette,Viandes et Poissons,ATLANTIQUE NORD EST,2.99 € / KG
Saumon fumé  thym et citron  MOWI,saumon-fume-thym-et-citron-mowi,Viandes et Poissons,FRANCE,45.41 € / KG
Sole,sole,Viandes et Poissons,ATLANTIQUE NORD EST,8.69 € / KG
Têtes de saumon,tetes-de-saumon,Viandes et Poissons,NORVÈGE,3.79 € / KG
Thon en tranche Albacore,thon-en-tranche-albacore,Viandes et Poissons,ATLANTIQUE OCEAN INDIEN,8.09 € / KG
Tranche de lieu noir,tranche-de-lieu-noir,Viandes et Poissons,ATLANTIQUE NORD EST,2.71 € / KG
Tranche de longe d'espadon décongelée,tranche-de-longe-d-espadon-decongelee,Viandes et Poissons,ATLANTIQUE OCEAN INDIEN,7.49 € / KG
