"Date";"title";"slug";"product_family";"origin";"price";"total_kg_co2";"total_kg_co2_farming";"total_kg_co2_processing";"total_kg_co2_packaging";"total_kg_co2_transport";"total_kg_co2_retail";"total_kg_co2_consumption"
"18/09/2023";"Châtaignes pelées au feu CARREFOUR EXTRA";"chataignes-pelees-au-feu-carrefour-extra";"Epicerie salée";"";3.55;0.408;0.359;0.0001;0.0;0.0359;0.0057;0.0075
"20/10/2023";"Yaourt de brebis coco BASKALIA";"yaourt-de-brebis-coco-baskalia";"Crèmerie et Produits laitiers";"";1.95;0.474;0.258;0.038;0.106;0.0618;0.0092;0.0017
"04/01/2022";"Frites Steakhouse spécial four CARREFOUR CLASSIC'";"frites-steakhouse-special-four-carrefour-classic";"Surgelés";"";1.59;0.874;0.239;0.0822;0.148;0.233;0.0996;0.072
"18/12/2023";"Thon au piment d'Espelette PETIT NAVIRE";"thon-au-piment-d-espelette-petit-navire";"Epicerie salée";"";2.65;0.548;0.397;0.0;0.0516;0.0943;0.0045;0.0008
"13/04/2023";"Barre chocolatée Céréales Chocolat KINDER COUNTRY";"barre-chocolatee-cereales-chocolat-kinder-country";"Epicerie sucrée";"";3.45;1.67;1.42;0.0706;0.153;0.0235;0.0078;0.0
"03/09/2023";"Naan au fromage OUMMI";"naan-au-fromage-oummi";"Surgelés";"";4.99;2.11;1.75;0.0977;0.153;0.0921;0.0133;0.0024
"19/11/2022";"Thé noir breakfast 1336 1336";"the";"Epicerie sucrée";"";3.65;0.0017;0.0009;0.0;0.0003;0.0001;0.0;0.0005
"21/04/2023";"Café en grains Tradition CARREFOUR CLASSIC'";"cafe";"Epicerie sucrée";"";9.45;0.636;0.436;0.0181;0.129;0.0402;0.001;0.0112
"30/10/2024";"Glace coco PARADIS";"yaourt";"Surgelés";"";5.59;1.0;0.544;0.0802;0.223;0.13;0.0195;0.0036
"19/09/2023";"Biscuits Canistrelli raisin";"biscuits-canistrelli-raisin";"Epicerie sucrée";"";3.69;0.153;0.051;0.0;0.0;0.0855;0.0066;0.0097
"26/11/2022";"Sirop citron CARREFOUR CLASSIC'";"soda";"Boissons";"";2.95;0.37;0.0677;0.0098;0.104;0.157;0.0272;0.0051
"16/03/2022";"Filets de poulet jaune fermier Label Rouge CARREFOUR";"filets-de-poulet-jaune-fermier-label-rouge-carrefour";"Viandes et Poissons";"";1.79;1.37;0.898;0.248;0.113;0.0913;0.0122;0.002
"05/11/2023";"Fromage Fouetté Madame Loïk au Lait de Vache et Chèvre PAYSON BRETON";"fromage";"Crèmerie et Produits laitiers";"";1.28;0.88;0.731;0.0407;0.0637;0.0384;0.0055;0.001
"16/06/2023";"Lieu  jaune en tranche";"lieu-jaune-en-tranche";"Viandes et Poissons";"ATLANTIQUE NORD EST";0.99;2.4;2.04;0.0;0.093;0.252;0.0081;0.0014
"02/11/2024";"Beurre Demi-Sel 60% M.G";"beurre-demi-sel-60-m-g";"Crèmerie et Produits laitiers";"";1.45;1.58;1.46;0.01;0.0248;0.0814;0.0081;0.0014
"28/03/2024";"Thé bio Earl grey CLIPPER";"the";"Epicerie sucrée";"";2.99;0.0017;0.0009;0.0;0.0003;0.0001;0.0;0.0005
"18/03/2022";"Vin Rouge A.O.P. Pommard DOMAINE COSTE-CAUMARTIN";"vin";"Boissons";"";35.39;0.951;0.226;0.0248;0.509;0.175;0.0118;0.0051
"28/07/2022";"Thon blanc Germon naturel LES MOUETTES D'ARVOR";"thon-blanc-germon-naturel-les-mouettes-d-arvor";"Epicerie salée";"";3.65;0.797;0.578;0.0;0.075;0.137;0.0065;0.0011
"28/06/2024";"Soda saveur Pomme SCHWEPPES";"soda";"Boissons";"";2.45;0.742;0.136;0.0195;0.207;0.314;0.0546;0.0103
"20/06/2022";"Infusion verveine, bio ELEPHANT";"the";"Epicerie sucrée";"";2.85;0.0011;0.0006;0.0;0.0002;0.0001;0.0;0.0003
"01/12/2022";"Bonbons Delir'Pik HARIBO";"bonbons-delir-pik-haribo";"Epicerie sucrée";"";2.19;0.455;0.221;0.0927;0.0707;0.0645;0.0064;0.0
"29/09/2024";"Yaourt  à boire vanille et lait d'amande  MICHEL ET AUGUSTIN";"yaourt-a-boire-vanille-et-lait-d-amande-michel-et-augustin";"Crèmerie et Produits laitiers";"";1.59;0.288;0.203;0.0031;0.024;0.0535;0.0041;0.0
"07/10/2023";"Cœurs d'artichauts SIMPL";"coeurs-d-artichauts-simpl";"Epicerie salée";"";1.79;0.613;0.148;0.0001;0.0;0.143;0.0132;0.31
"19/08/2023";"Vin rosé IGP Île de beauté bio DOMAINE TERRA VECCHIA";"vin";"Boissons";"";7.19;0.951;0.226;0.0248;0.509;0.175;0.0118;0.0051
"27/12/2022";"Fromage nature à tartiner ou cuisiner CARREFOUR CLASSIC'";"fromage";"Crèmerie et Produits laitiers";"";1.79;1.76;1.46;0.0813;0.127;0.0766;0.011;0.002
"18/02/2024";"Jus Fa-Bu-Bleu Goyave Citron Vert Pomme Eau de Coco Spiruline INNOCENT";"jus-fa-bu-bleu-goyave-citron-vert-pomme-eau-de-coco-spiruline-innocent";"Fruits et Légumes";"";2.79;1.1;0.599;0.136;0.217;0.136;0.0159;0.0
"11/01/2024";"Sorbet poire Williams CARREFOUR EXTRA";"sorbet-poire-williams-carrefour-extra";"Surgelés";"";2.49;0.232;0.0414;0.0;0.0;0.163;0.0084;0.0194
"25/10/2024";"Chiche Chichou Caramélisés";"chiche-chichou-caramelises";"Fruits et Légumes";"";2.5;0.0593;0.0215;0.0;0.0;0.0209;0.0019;0.0151
"29/03/2024";"Plateau raclette JEAN PERRIN";"fromage";"Crèmerie et Produits laitiers";"";10.9;3.69;3.07;0.171;0.267;0.161;0.0232;0.0043
