title;slug;product_family;origin;price;total_g_co2;total_g_co2_farming;total_g_co2_processing;total_g_co2_packaging;total_g_co2_transport;total_g_co2_retail;total_g_co2_consumption
Jus D'Orange Pressées 100% Pur Jus Sans Sucres Ajoutés ANDROS;jus-d-orange-pressees-100-pur-jus-sans-sucres-ajoutes-andros;Fruits et Légumes;;3,75;1,02;0,297;0,0001;0;0,567;0,0315;0,121
Jus D'Orange Avec Pulpe INNOCENT;jus-d-orange-avec-pulpe-innocent;Fruits et Légumes;;4,15;1,02;0,297;0,0001;0;0,566;0,0315;0,121
Jus D'Orange Sans Pulpe INNOCENT;jus-d-orange-sans-pulpe-innocent;Fruits et Légumes;;3,49;1,02;0,297;0,0001;0;0,566;0,0315;0,121
Jus D'Orange Avec Pulpe INNOCENT;jus-d-orange-avec-pulpe-innocent;Fruits et Légumes;;2,79;0,61;0,178;0,0001;0;0,34;0,0189;0,0725
Jus D'Orange Sans Pulpe INNOCENT;jus-d-orange-sans-pulpe-innocent;Fruits et Légumes;;2,59;0,609;0,178;0,0001;0;0,34;0,0189;0,0725
Jus d'oranges de méditerrannée pressé à froid FLORETTE;jus-d-oranges-de-mediterrannee-presse-a-froid-florette;Fruits et Légumes;FRANCE;3,99;0,474;0,139;0,0001;0;0,265;0,0147;0,0564
Jus Multifruits Orange Sanguine, Grenade, Orange Et Citron Vert  INNOCENT;jus-multifruits-orange-sanguine-grenade-orange-et-citron-vert-innocent;Fruits et Légumes;;3,49;0,687;0,175;0,0001;0;0,365;0,0229;0,124
Jus Orange Sanguine 100% pur jus CARREFOUR EXTRA;jus-orange-sanguine-100-pur-jus-carrefour-extra;Fruits et Légumes;;3,25;0,678;0,198;0,0001;0;0,378;0,021;0,0806
Jus D'Ananas 100% Pur Jus CARREFOUR EXTRA;jus-d-ananas-100-pur-jus-carrefour-extra;Fruits et Légumes;;2,59;1,36;0,368;0;0;0,645;0,0254;0,323
Jus Plus Fa-Bu-Bleu INNOCENT;jus-plus-fa-bu-bleu-innocent;Fruits et Légumes;;3,05;0,919;0,499;0,113;0,18;0,114;0,0133;0
Jus D'Ananas Pressés 100% Pur Jus Sans Sucres Ajoutés  ANDROS;jus-d-ananas-presses-100-pur-jus-sans-sucres-ajoutes-andros;Fruits et Légumes;;3,15;1,36;0,368;0;0;0,645;0,0254;0,323
Jus D'Ananas INNOCENT;jus-d-ananas-innocent;Fruits et Légumes;;3,49;1,22;0,331;0;0;0,58;0,0228;0,291
