Date;product_family;title;price;total_kg_co2;total_kg_co2_farming;total_kg_co2_processing;total_kg_co2_packaging;total_kg_co2_transport;total_kg_co2_retail;total_kg_co2_consumption
21/03/2025;Fruits et Légumes;Oignons jaunes SIMPL;2,79;0,837933654;0,201278571;0,000136511;0;0,534085714;0,038063571;0,064369286
30/12/2024;Epicerie sucrée;Bonbons halal marshmallow SAMIA;2,45;0,371725;0,18025;0,07575;0,05775;0,05275;0,005225;0
18/04/2024;Fruits et Légumes;Clémentines de Corse en conversion biologique;3,59;0,650956;0,2915;0,000056;0;0,237;0,0149;0,1075
23/12/2024;Epicerie salée;Thon blanc germon à l'huile d'olive Bio LES MOUETTES D'ARVOR;5,49;0,797406899;0,577642087;0;0,075045468;0,137129991;0,006496473;0,00109288
30/06/2024;Epicerie sucrée;Thé blanc saveur tarte au citron Optimisme JOYCE;2,59;0,00130766;0,000672026;0;0,000191707;9,39036E-05;5,01019E-06;0,000345013
05/02/2024;Crèmerie et Produits laitiers;Fromage Emmental Râpé Fondant PRESIDENT;2,09;1,17252;0,97356;0,05426;0,08486;0,05112;0,00736;0,00136
19/07/2022;Epicerie sucrée;Tablette de chocolat noir abricot, amandes & romarin CARREFOUR SELECTION;1,79;0,1451508;0,0347;0,0000108;0,0657;0,0342;0,00248;0,00806
23/11/2022;Surgelés;Glace au Chocolat HAAGEN DAZS;4,69;0,758215333;0,412175768;0,060825939;0,168872014;0,09884215;0,014766297;0,002733166
24/03/2024;Epicerie salée;Lentilles  vertes Bio CARREFOUR BIO;2,25;0,2907715;0,0705;0,0003215;0,0645;0,122;0,03345;0
12/10/2022;Boissons;Bière Blonde Triple Trappiste Belge CHIMAY;2,09;0,444753981;0,026380885;0,090137441;0,205037915;0,108957346;0,011985308;0,002255087
24/11/2022;Fruits et Légumes;Poire vrac QTEE;3,79;0,387319;0,069;0,000019;0;0,272;0,014;0,0323
18/05/2024;Epicerie salée;Riz long grain incollable 10 min CARREFOUR CLASSIC';1,49;0,61313175;0,33275;0,07551925;0,1202625;0,07575;0,00885;0
22/01/2025;Boissons;Vin Rouge A.O.P. Côtes Du Rhône Grande Cuvée ORTAS;4,99;0,951949429;0,225863158;0,024837444;0,509505263;0,174837594;0,011780902;0,005125068
11/05/2024;Fruits et Légumes;Pommes de terre grenaille;3,49;0,383493;0,0841;0,000193;0;0,198;0,0206;0,0806
16/07/2022;Crèmerie et Produits laitiers;Parmigiano Reggiano AOP 24 mois d'affinage;0,76;0,93212887;0,773959833;0,043135565;0,067461925;0,040639331;0,005851046;0,001081172
12/01/2022;Epicerie salée;Riz Parfumé TAUREAU AILE;3,35;0,383493;0,0841;0,000193;0;0,198;0,0206;0,0806
22/09/2023;Epicerie sucrée;Bonbons chlorophylle TIC TAC;2,45;0,080293255;0,038934318;0,016362134;0,012474102;0,011394093;0,001128609;0
16/03/2022;Boissons;Boisson aux Fruits Pêche OASIS;7,10;1,956783799;0,357776536;0,051564246;0,547374302;0,828994413;0,14398324;0,027091061
26/12/2024;Crèmerie et Produits laitiers;Fromage Reblochon fermier AOP POCHAT;7,45;1,407099549;1,168334729;0,065115496;0,101837468;0,061347294;0,008832474;0,001632088
17/03/2023;Fruits et Légumes;Framboise Bio;3,49;0,192885975;0,13;0,000002225;0;0,06;0,0016375;0,00124625
14/02/2022;Fruits et Légumes;Salade Bio laitue BONDUELLE;2,60;0,1438125;0,1015;0,00155;0,0119875;0,02675;0,002025;0
